I am 18+ and consent to take part. I understand anomymised data will be published openly,Which of the following best describes your current work status? ,Do you use any AI-powered tools or features in your work or daily life?,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, search assistants, or productivity apps) in your daily life? ",I often feel mentally taxed when trying to guide or re-phrase prompts for digital or AI tools to get the result I want.  ,Figuring out whether digital or AI information is accurate or trustworthy drains my focus and mental energy. ,Switching between my own ideas and AI-generated suggestions makes it harder to stay in flow. ,I sometimes catch myself thinking about how to think when I use AI or digital systems. ,I lose track of what thoughts are mine versus what came from a digital or AI tool. ,Even brief sessions with digital or AI tools can leave my mind cluttered or overstimulated. ,I rely on digital or AI suggestions to make many everyday work or personal decisions.  ,"When digital or AI advice conflicts with my instinct, I usually follow the system’s recommendation. ",I feel less confident making decisions without digital or AI input. ,Letting AI or digital systems decide for me saves time but leaves me feeling detached from the outcome. ,"After following AI advice, I sometimes question whether the decision was truly mine. ",Using AI tools blurs the line between my judgment and automation. ,I worry that depending on digital or AI systems weakens my independent decision-making over time. ,"Even after I stop using AI or digital tools, my mind keeps replaying the interaction.  ",I find it hard to mentally switch off after spending time with digital or AI systems. ,I need time away from screens or AI tools to feel like myself again. ,Taking short breaks from AI or digital input helps me clear my head. ,"When I spend a day disconnected from AI or digital systems, my thinking feels calmer and more grounded. ",I feel uneasy or restless when I’m not able to use digital or AI tools for long periods. ,"In your own words, describe how using digital or AI tools affects your ability to think clearly, make decisions, or rest your mind.  ",What is your age group?,Country of residence,Which of the following best describes your gender?
Yes,Self-employed / freelance,Yes,Often,1,1,1,1,2,1,2,3,4,2,1,2,3,1,1,2,3,1,2,"Personally I think AI really helps me both personally  and in my business. I use it to ask advice on various topics, but also to create business emails, social media posts etc and I never really feel overwhelmed using it...",55 - 65,US,Woman
Yes,Employed part-time,Yes,Everyday,3,3,3,4,2,3,5,2,3,5,5,5,6,3,2,6,6,4,2,"I find it very useful as a sounding board and information source, for example recently I asked chatgpt to help with diet and supplement plans. The knowledge it can provide saves me time and mental energy in working out what supplements interact with others, or with types of food, and the best plan overall for my health. This information helped me to think clearly and make decisions. It is not something that warranted a doctor's appointment but it made it much easier than timing supplements and counting calories by myself.",35 - 44,UK,Woman
Yes,Self-employed / freelance,Yes,Often,3,3,2,2,2,3,4,3,2,5,4,5,5,2,2,4,5,5,2,"I think it's all to easy to become dependant on AI tools, so sometimes I feel that I have too many options with information whilst using it. Breaking away from it makes my head feel clearer, and like I am back in reality again.",45 - 54,UK,Woman
Yes,Employed full time,Yes,Rarely,2,4,2,5,3,2,2,3,1,5,4,6,5,1,1,5,7,6,2,I struggle to rest as im having to use my eyes for screen interaction then my mind and voice when using voice prompts to generate responses and that can take a mental toll over time and leave me feeling reliant on the technology making me uneasy,35 - 44,UK,Man
Yes,Self-employed / freelance,Yes,Sometimes,4,4,5,5,1,2,2,1,1,3,5,5,7,2,2,2,7,4,3,"Sometimes, there is a bit of a reliance on AI tools that encourages mental laziness, which results in less time to think clearly on your own.",55 - 65,US,Man
Yes,Employed full time,Yes,Very often,4,6,5,2,3,2,2,5,2,6,5,4,6,4,2,2,5,3,1,It doesn’t? I find that I can think quite clearly regardless,35 - 44,UK,Woman
Yes,Employed full time,Yes,Sometimes,1,1,2,2,1,1,4,2,2,3,4,3,2,1,1,2,2,2,1,"I use AI tools to gather information and not for it to make decisions for me.  While I depend on AI to help me with my work, I do not let it control me. ",55 - 65,US,Man
Yes,Employed full time,Yes,Often,4,3,2,4,3,3,4,3,2,3,1,4,2,5,5,4,6,4,2,you concentrate so hard on the prompt sometimes you loses focus on exactly what you were asking. your mind gets muddled.,55 - 65,US,Man
Yes,Employed full time,Yes,Sometimes,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,It helps me to think more clearly by helping when my mind is blocked. It gets my creative side going again.,45 - 54,US,Woman
Yes,Employed full time,Yes,Occasionally,3,3,2,4,1,1,3,4,1,3,3,1,1,1,1,1,1,1,1,It doesn't affect my ability to think clearly. They're a tool that I can use to help refine my work.,35 - 44,US,Man
Yes,Employed full time,Yes,Everyday,6,6,6,5,5,7,7,6,6,7,6,7,7,5,5,5,7,6,4,It’s very convenient but often makes me feel guilty when it makes decisions I can not override. ,45 - 54,UK,Man
Yes,Self-employed / freelance,No,Sometimes,6,6,4,6,1,6,3,2,3,7,7,6,7,5,6,6,6,5,4,I don't want to feel like AI is in control of my life.,25 - 34,US,Man
Yes,Employed full time,Yes,Sometimes,3,6,2,5,1,2,4,2,2,6,6,4,6,2,2,2,3,2,1,It saves me time initially but then later it causes me more challenges when I need to analyse the answers or double/triple check to be sure what I am being told is correct. Over time this can become more taxing and leads me to question more than without using AI tools.,35 - 44,Australia,Man
Yes,Employed full time,Yes,Sometimes,3,5,3,4,1,2,2,3,1,4,5,3,6,1,1,3,6,5,1,it helps with the advice I need to give but when I'm not 100% sure my advice is correct,55 - 65,UK,Woman
Yes,Employed full time,Yes,Very often,3,6,2,1,1,2,3,2,3,5,2,5,6,1,2,2,3,2,3,I use them as a tool only. If I don't like the answers it gives then I'm perfectly happy to use my own judgement instead. I'm not really conflicted with the use of AI tools.,45 - 54,US,Man
Yes,Retired,Yes,Often,2,2,3,1,1,1,3,4,2,2,2,3,2,1,1,2,3,3,2,They really don't. I use AI tools to get information and sometimes it gets things wrong.  So my mind is clear and correct even though the AI isn't.  I use it to get the information that I want and correct it when it is wrong.  ,Over 65,US,Man
Yes,Employed full time,Yes,Sometimes,3,5,2,1,1,2,3,1,1,3,1,1,1,1,1,1,1,1,1,"It doesnt mess with my ability to make decisions, but it does help me with making more informed decisions. ",25 - 34,US,Woman
Yes,Employed full time,No,Rarely,5,5,3,1,1,1,1,2,1,3,2,2,4,1,1,1,1,4,1,AI has not affected my ability to make decisions or think clearly,25 - 34,US,Man
Yes,Employed full time,No,Rarely,2,3,2,3,1,1,2,2,2,5,5,5,5,1,1,1,2,4,1,usually it is used to re-enforce something I think I know the answer / what to do. it also helps with ideas and sometime helps put my thoughts into words,35 - 44,UK,Man
Yes,Employed full time,Yes,Often,2,4,2,4,2,2,1,4,1,3,2,2,2,4,2,3,4,3,1,It makes it a bit easier se we don’t have ,25 - 34,UK,Woman
Yes,Employed full time,Yes,Everyday,3,5,3,4,3,3,5,4,3,3,5,5,5,2,2,3,5,3,2,Ai can boost efficiency but can clutter my thinking and drain focus,35 - 44,UK,Man
Yes,Employed full time,Yes,Often,3,5,7,3,1,6,2,1,1,2,2,2,2,1,1,5,1,6,1,AI tools can sometimes give me a headache because I do not trust the output and I am constantly fact-checking. ,45 - 54,US,Woman
Yes,Employed full time,Yes,Often,2,2,5,5,2,1,3,5,2,6,2,3,3,1,1,7,7,3,1,Prior to putting anything into AI you have some kind of understanding what the answer will be as its a thought process. However when AI puts a different outcome all together then it makes it simpler and clearer and thinks of different avenues you havent. ,35 - 44,Australia,Woman
Yes,Self-employed / freelance,No,Rarely,6,7,7,2,1,5,1,1,1,3,2,3,7,2,3,3,5,1,1,"I think it can make it tough to see what was your decision and what the AI coaxes you to do. Also, it can be tiring to constantly fact check which affects my ability to think clearly",25 - 34,UK,Woman
Yes,Self-employed / freelance,Yes,Often,5,5,5,6,3,5,3,4,2,5,4,5,5,1,3,6,5,6,2,digital language based tools tend to drain me after long periods of time whereas visual aI tool tend to stimulate and excite me most of the tme ,55 - 65,US,Man
Yes,Employed full time,Yes,Very often,3,3,4,5,3,3,5,2,2,5,5,4,4,1,1,1,7,7,7,"It can at times be overwhelming as I'm presented with such a large volume of information when the intention was seeking support in decision making. But on the flip side, it can really help me in prioritising some things, especially in terms of asking it to review large documents or series of documents to identify the most relevant sections. I have found that mastering prompt engineering has really helped avoid the more negative side of it and have much more positive interactions",25 - 34,UK,Woman
Yes,Employed part-time,No,Rarely,5,4,6,3,3,3,2,2,2,6,5,6,5,2,2,4,4,4,1,I’m never 100% confident it’s the right thing and can often not sound like me so everyone would know it’s AI,45 - 54,UK,Woman
Yes,Retired,Yes,Very often,4,5,5,5,4,5,2,3,4,6,5,5,6,4,4,4,5,6,3,It makes me more indecisive and not trust my own judgement ,45 - 54,UK,Woman
Yes,Unemployed and looking for work,Yes,Everyday,3,4,4,5,2,4,3,2,3,4,5,5,3,1,1,1,2,3,1,Using AI tools makes me think less hard on topics. I turn to AI instead of thinking deeply on things. ,25 - 34,UK,Man
Yes,Employed full time,Yes,Sometimes,3,3,2,3,2,2,2,2,2,5,3,4,4,1,1,1,2,1,1,"I feel like it is the opposite- AI let's me have a small brain break in between thinking, to automate things that aren't needing my own personal input.",35 - 44,Australia,Woman
Yes,Employed full time,Yes,Often,2,2,3,3,1,2,2,3,3,2,1,2,2,4,3,1,2,2,3,"I see AI tools as just another source of information and data that I can use to inform some of my decision-making. Ultimately the decisions I make are still mine, and I feel that I think just as clearly as ever.",35 - 44,US,Man
Yes,Unemployed and not currently looking for work,No,Rarely,2,2,4,4,3,4,2,3,1,1,3,1,1,2,1,1,4,1,1,"I think they rest my mind by helping me conclude information on topics, allowing me to free my mind from the worries of certain things.",35 - 44,US,Man
Yes,Employed full time,Yes,Very often,2,3,5,4,3,1,6,3,5,5,6,3,7,2,2,4,6,5,3,I sometimes feel I rely to heavily on AI. I can tend to get engaged with it and then lose track of time because I'm enjoying myself. Then I end up feeling guilty for all the time I spent with it. ,55 - 65,US,Woman
Yes,Unable to work due to illness or disability,No,Occasionally,1,3,5,2,2,2,2,5,2,2,5,6,7,1,1,1,1,4,1,"I think using AI makes decisions really easy for me. So when I do use AI tools, I feel as I don't think clearly or at my best because I am relying so much on the AI tool instead of my own thoughts.",25 - 34,US,Man
Yes,Employed full time,Yes,Everyday,2,2,1,3,1,1,6,4,3,2,1,1,2,1,1,1,2,1,1,I have a very good relationship with AI in my work ive had no issues and our company provides training for all staff,35 - 44,UK,Man
Yes,Employed full time,Yes,Often,3,2,2,1,1,2,5,4,3,3,2,2,2,3,2,3,6,5,2,sometimes i can have thoughts replaying in my mind after work with certain inputs i have made throughout the day. i generally am able to switch my mind away from it quite esy though,45 - 54,UK,Man
Yes,Employed full time,Yes,Very often,6,6,5,5,3,5,5,4,4,5,4,4,5,5,5,5,6,5,4,It helps me break down complex topics and creates structure in order to better reinforce understanding,25 - 34,UK,Man
Yes,Unable to work due to illness or disability,Yes,Rarely,6,5,4,2,1,2,2,2,1,5,6,2,5,1,2,2,2,4,1,"It doesn't really _ I use it for programming, so can test the results and adjust without too much thought.",55 - 65,UK,Man
Yes,Employed full time,Yes,Very often,6,5,6,5,4,6,5,4,5,6,6,5,5,6,4,6,5,6,5,I may become overly reliant on them and so I would end up being unable to make independent judgement especially if the AI is incorrect.,25 - 34,US,Man
Yes,Employed full time,Yes,Occasionally,5,6,5,4,5,6,3,2,2,5,5,6,6,5,5,6,5,6,2,It makes me question my own judgement and my own ability to collate information effectively. I often end up worrying about whether the ai information is correct and if I should check it all myself rather than take it all as gospel,45 - 54,UK,Woman
Yes,Employed full time,Yes,Sometimes,1,1,1,1,1,1,7,7,1,7,1,1,1,1,1,1,1,1,1,"I feel like it allows me to rest my mind. Normally for me, I just use AI to revise things, so I can confidently say they are at least my own thoughts.",35 - 44,US,Woman
Yes,Employed full time,Yes,Very often,3,2,3,2,2,2,3,2,2,3,3,2,3,3,3,2,5,3,2,It makes you forget how to think for yourself ,55 - 65,UK,Woman
Yes,Employed full time,Yes,Often,3,6,3,5,3,6,6,3,7,3,7,6,6,2,3,6,6,4,1,"It's hard to unblur the lines between where I end and where AI starts. I sometimes ""hallucinate"" and think that my words were made by the AI and vice versa. ",35 - 44,UK,Man
Yes,Employed full time,Yes,Very often,2,5,2,1,1,1,1,2,1,5,1,3,2,1,1,2,5,4,1,"I do not think using digital or AI tools hinders my ability to make decisions or think clearly. However, it can make it more difficult to rest my mind afterwards, because of the large input of new information that usually comes with how I use these tools.",25 - 34,US,Woman
Yes,Self-employed / freelance,Yes,Occasionally,4,6,5,4,3,4,4,4,4,4,4,4,4,1,1,1,4,4,1,It doesn’t affect it much ,35 - 44,US,Woman
Yes,Employed full time,Yes,Very often,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,1,using AI helps me in making decisions as it is useful for many things but it does not clutter my mind or causes any negative effects ,25 - 34,US,Man
Yes,Employed full time,Yes,Everyday,1,1,1,1,1,1,4,6,1,7,2,1,1,3,2,6,7,4,4,I don’t think it really affects my ability to think. I still have my own thoughts and am easily able to seperate my own thoughts from AI and/or think without AI. However it does make decision making easier sometimes. And I feel like it puts me at ease instead of questioning if I’m making the right decision,25 - 34,UK,Woman
Yes,Employed full time,Yes,Occasionally,4,2,3,1,1,1,1,2,1,4,1,3,7,1,1,4,6,4,1,"It doesn’t. I use it as a tool to help me, i do no rely on it, i can live without it and function perfectly efficiently and competently. AI has no negative impact on my life and does not stop me from being able to make decisions, think clearly or rest.",45 - 54,UK,Man
Yes,Employed full time,Yes,Often,2,5,4,2,2,1,3,2,2,4,5,2,6,1,1,2,6,6,1,"I think I get used to AI answering all my questions and making the decisions that lose trust in myself to do these things, ",35 - 44,UK,Woman
Yes,Employed full time,Yes,Often,2,2,3,4,2,1,1,3,2,4,3,2,2,1,1,2,3,2,1,It does not affect my cognative abilities,55 - 65,UK,Man
Yes,Employed full time,Yes,Everyday,2,2,3,5,2,2,5,2,3,2,2,3,5,1,1,1,4,3,1,"I believe that I'm getting lazier and lazier as I'm relying on AI more to help me make decisions without using my own mind. I sometimes feel like I can't think for myself and think this is due to me using AI more and more. I need a rest for AI at periodic intervals to go through my thoughts and think more clear, original ideas",25 - 34,UK,Man
Yes,Unemployed and looking for work,Yes,Occasionally,2,4,5,1,1,4,1,1,1,4,1,1,4,4,4,1,4,4,1,"I don't think AI affects my ability to think clearly, etc. But actually I'm getting a bit tired of AI, especially AI answering every question, etc., I put in Google search. AI is getting tiresome because it's everywhere--not just in Google search and AI chatbots but in the news, in people's writing/posts in discussion forums and Blogs, in jobs new and disappearing, in everyone's conversation, and just appearing everywhere. I'd like a day when I don't have to hear about, see, or read about AI---like not forever, but just not everywhere, every day.",55 - 65,US,Woman
Yes,Employed full time,Yes,Sometimes,3,5,2,5,3,5,5,2,1,3,4,5,7,2,2,5,6,5,2,I would say that making a difficult strategic decision at work is easier with the guidance of AI and sometimes it can affect my ability when I don't have access to AI to help me. I don't think I use it often enough for it to make me feel like I can't switch off from it (luckily!),35 - 44,UK,Woman
Yes,Employed full time,Yes,Often,2,3,1,2,1,1,2,1,1,3,3,2,2,1,1,1,4,4,1,"I feel it has no impact, I use AI as an aid but don’t depend on it ",25 - 34,UK,Man
Yes,Unemployed and looking for work,No,Occasionally,5,2,2,6,1,1,1,3,1,3,2,2,1,1,1,1,4,4,1,Makes me know that ive got a wealth of knowledge that i havent learnt yet.,35 - 44,UK,Man
Yes,Employed full time,Yes,Often,6,6,6,6,6,6,4,2,5,6,5,5,5,6,5,6,5,5,6,I feel dependence of AI opinion and checking if I am wrong or right all of the time,35 - 44,UK,Woman
Yes,Employed part-time,Yes,Very often,5,6,6,6,5,4,6,6,4,7,6,6,7,3,4,3,5,4,2,Helps me but doesn't feel natural,25 - 34,UK,Man
Yes,Retired,Yes,Rarely,5,6,6,6,6,6,4,2,4,5,5,5,5,4,4,5,5,6,3,It sometimes overloads me with information which I feel I need to sift through for the truth.,Over 65,UK,Woman
Yes,Employed part-time,Yes,Sometimes,5,5,6,5,6,6,4,3,3,5,5,5,4,4,5,5,6,5,3,"I try stay away, Best I can, it's overload and contradictory , sometimes fun, but only fir a short period, I'm 60, I don't need this ",55 - 65,UK,Man
Yes,Employed full time,Yes,Everyday,5,4,1,5,4,1,1,4,1,2,5,5,6,4,2,7,3,1,4,it helps me to think swiftly  making it align with my own personal thoughts in achieving my goals which can somehow reduce mental stress for me like  overthinking.,25 - 34,Ireland,Woman
Yes,Employed part-time,Yes,Occasionally,5,7,6,3,3,2,2,2,2,4,4,6,6,5,4,4,5,5,3,"I think it mainly comes under the heading 'TMI' or 'information overload'. AI responses often try to be all things to all people in a single response. It would be easier to assimilate information or guide the AI in the direction I want to go, if conversations started with brief introductions to ideas and themes and allow me to choose which to develop and in what order. The lack of sources or references/credits is enormously frustrating and in general I am uncomfortable with the way AI adopts and presents ideas as their own rather than the scientist or professional who is really responsibly. Sometimes the length of responses is off-putting and written in styles that are not easily accessible ie need to read a few times to ger the sense of the comments due to unusual vocabularly or sentence structure. All this is like 'noise' over and above the analysis and decision I am trying to progress.",55 - 65,UK,Woman
Yes,Employed full time,Yes,Everyday,3,2,5,5,3,2,6,6,3,5,6,5,5,3,3,2,2,2,2,take shortcuts and be more efficient,25 - 34,UK,Woman
Yes,Employed part-time,No,Sometimes,6,7,5,4,5,5,1,1,3,7,6,4,6,3,3,2,5,5,1,While ai can help in certain situations i find it dives too in depth for my work in college and is not exactly the information i am looking for so i often find myself conflicted between my own thoughts and what ai is telling me.,18 - 24,Ireland,Man
Yes,Employed full time,Yes,Very often,4,5,6,4,2,3,5,2,3,5,6,4,7,1,1,2,3,5,2,I feel like I automatically reach for AI tools rather than defaulting to my own brain power and it scares me,25 - 34,UK,Woman
Yes,Employed full time,Yes,Occasionally,3,2,4,4,3,2,1,2,2,1,2,3,6,1,1,2,3,2,1,"I'm not dependent on AI. Occasionally I'll use it for quick answers if I'm too lazy to research something or make a decision myself. I see AI as a way to minimize thinking instead of constantly worrying about how to use AI. Since I have always been skeptical of AI and it's overall helpfulness, I'm more likely to doubt any results I get rather than to trust them blindly.",35 - 44,US,Man
Yes,Employed full time,Yes,Occasionally,5,2,4,6,2,4,1,3,2,4,3,5,5,2,1,6,6,7,4,"There's no end to the amount of information available. So I find myself delving deeper and deeper, looking for the perfect answer/response. I'm never satisfied with it's first response and find myself fine tuning my prompts to influence the responses then on.",35 - 44,UK,Woman
Yes,Homemaker / caring for family,Yes,Occasionally,6,5,5,6,3,4,3,1,4,3,3,3,6,2,2,2,6,6,4,"It can sometimes make things too complex, but it can also simplify and give information at a glance. If I don't trust what it is saying then I cross reference with another source. Regarding input, it can be a time waster giving it varied instructions in order to achieve a good outcome.",45 - 54,Australia,Woman
Yes,Self-employed / freelance,Yes,Sometimes,3,4,3,5,2,2,2,4,3,5,3,5,5,2,2,3,5,5,4,Constantly thinking about problems and their solutions can be taxing,55 - 65,UK,Man
Yes,Employed full time,Yes,Often,2,5,2,3,1,2,4,2,3,2,1,1,3,1,1,3,4,4,1,"It generally helps me to make decisions, especially when needing to compare things or decide the most suitable product or course of action. I feel I can think clearly with or without AI tools.
I do find the amount of information and text from AI tools slightly overloading sometimes, so if I used it too much I would definitely need a break from it.",35 - 44,UK,Man
Yes,Employed full time,Yes,Everyday,3,4,3,3,2,2,5,4,4,5,3,5,5,2,1,1,1,1,3,"it doesn't affect my ability, it helps it, it makes things easier to process and draft things, so effectively it helps rest my mind sooner than if i did not use AI tools",25 - 34,UK,Man
Yes,Employed full time,Yes,Rarely,1,4,4,5,3,3,4,5,5,5,4,5,5,3,3,3,3,3,4,"Using AI tools helps me solve problems which puts me at east. However, i feel like I'm becoming dependent on it which makes me uneasy.",35 - 44,UK,Man
Yes,Employed full time,Yes,Sometimes,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,7,4,1,"I don't feel it does, I only use it sometimes and when I do, it is me that feeds the info. to AI in the first place then I myself decide which piece of info. it provides I will use",55 - 65,UK,Woman
Yes,Employed part-time,Yes,Sometimes,1,1,1,1,1,3,1,3,1,1,1,1,3,1,1,1,4,5,1,"i make a point if not being reliant on AI and i wont be using it for advice, i use it for information only, i find it interesting that i now see ads for chatgbt on regular tv making it seem like we need it to make what seems like logical action that can be decided ourselves, i appreciate how  good it is for knowledge like planning a trip but not for asking how i should feel or act in situations, its a fine line between Ai being helpful and making life easier and overly ridiculously and scarily intrusive  ",45 - 54,UK,Woman
Yes,Unemployed and looking for work,Yes,Very often,2,2,1,1,1,1,6,5,5,1,1,1,1,1,1,3,7,3,5,Sometimes I get caught up in the information provided by AI,55 - 65,US,Woman
Yes,Employed full time,Yes,Sometimes,3,2,4,2,4,4,1,4,1,1,1,2,5,3,1,1,1,4,1,Algorithms basically deciding and recommending videos on YouTube and same with Netflix! Showing you content that you may like going off previously watched series and films. Sometimes it can have you in a bubble in which you basically watch content YouTube recommends.,25 - 34,UK,Man
Yes,Employed full time,Yes,Occasionally,3,3,4,4,3,4,2,5,1,5,6,6,5,4,5,6,5,5,5,I find my self relying on it like it’s my work when it’s really not.. ,35 - 44,US,Man
Yes,Employed full time,Yes,Very often,4,4,3,6,2,2,5,7,3,2,3,4,6,3,2,5,6,4,1,It can affect me sometimes but I take breaks for my mental health ,35 - 44,UK,Woman
Yes,Employed full time,Yes,Sometimes,2,4,2,1,3,2,3,3,4,3,3,1,3,1,1,4,4,4,1,"I have to repeat the thought in order to communicate it to my AI tool. Once I receive feedback from it, I have to assess the response and then ask it follow-up questions. Although it's designed to help, there's still a lot of work involved in using AI output.",25 - 34,US,Woman
Yes,Employed full time,Yes,Very often,2,2,2,2,2,2,5,3,3,5,3,3,3,2,2,2,2,2,2,It makes things clearer and eases my mind knowing I don’t need to worry about it. ,35 - 44,UK,Woman
Yes,Employed part-time,Yes,Sometimes,3,2,3,4,2,5,2,1,2,4,2,3,5,3,3,5,6,6,2,"Occasionally, I have felt overwhelmed by the amount of information, and the elaborateness of conceptual or thematic schemes, with which AI tools can supply me. Sometimes I have felt a sense of disconnect and insignificance, when confronted with an extensive account of an academic debate, for example, so that I wonder what I have left to contribute: should I follow a lonely, limited path of my own - or attempt to follow the many routes suggested by AI.",55 - 65,UK,Man
Yes,Employed full time,Yes,Sometimes,3,5,4,5,4,3,2,2,2,4,5,3,4,4,4,3,5,4,2,"Whether good or bad, using AI tools often expands the boundaries of the original human thought.  This can be a good thing in certain situation as viewing things from every possible angles are import.  But at the same time, it may expand your thought beyond the necessary boundaries without realizing it, which can affect the results of whatever you are working on in a negative way.  ",45 - 54,US,Man
Yes,Employed part-time,Yes,Often,4,5,4,5,3,3,5,6,4,6,7,4,7,5,5,7,7,4,3,"I feel as if I am not competent enough and gradually loosing my confidence.  Though it helps to deliver efficient and effective results, it is also making me loose self confidence. ",35 - 44,US,Woman
Yes,Employed part-time,No,Sometimes,5,5,4,5,5,4,3,4,4,5,5,5,6,3,4,5,5,5,3,"I think it makes me less likely to make a fully focussed effort to find the information I want, as I know AI can do so instantly, saving me time. This is very useful but does not stimulate or engage my brain. I worry it could lead to cognitive decline in future.",55 - 65,UK,Woman
Yes,Employed full time,Yes,Often,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,It doesn’t affect my ability to think clearly. I use it and then move on. ,45 - 54,UK,Woman
Yes,Employed full time,Yes,Everyday,5,5,5,7,3,3,3,1,1,5,1,1,7,1,1,1,5,1,1,"AI helps a ton with repetitive tasks, which gives me more time to think clearly.",25 - 34,US,Man
Yes,Employed full time,No,Occasionally,4,5,1,5,1,2,1,1,1,1,2,3,2,2,1,1,4,4,1,I sometimes question whether the information that AI provides is up to date and correct. That’s why I like to save posts about certain things and add to them when I know more. ,35 - 44,UK,Man
Yes,Homemaker / caring for family,Yes,Often,5,2,2,1,2,3,2,5,2,2,1,1,4,4,5,3,5,3,1,When using AI because of the amount of information I receive it sometimes makes me feel overwhelmed when all I wanted was a simple answer to my question,55 - 65,UK,Woman
Yes,Retired,Yes,Sometimes,3,2,4,5,2,2,1,4,1,4,3,3,5,1,1,1,4,6,1,"I can always think clearly, I tend to use AI purely for information gathering and solutions to research and general enquiries ",Over 65,UK,Woman
Yes,Employed part-time,No,Sometimes,5,5,3,3,1,1,4,5,4,5,2,2,2,1,1,1,1,1,1,"It helps me to reach the right conclusions or results by usually re-enforcing what I already believed, bringing me relief and confidence and usually saving me time.",55 - 65,UK,Woman
Yes,Unable to work due to illness or disability,No,Never,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,It doesn't affect me due to my not using it.,55 - 65,UK,Man
Yes,Retired,No,Never,2,2,5,1,3,3,1,2,1,5,5,5,6,2,2,4,5,6,2,I dont use AI tools so hopefully I think clearly most of the time,Over 65,UK,Man
Yes,Employed part-time,Yes,Often,7,2,1,2,1,4,1,1,1,7,4,1,4,1,1,7,5,7,1,"there's a feeling of always being connected, that you can never be alone with your thoughts unless you're silent",35 - 44,UK,Woman
Yes,Employed full time,Yes,Often,3,5,3,4,4,3,4,3,4,2,4,5,4,3,4,5,5,4,4,Using digital or AI tools can help me to make some decisions and get ideas more quickly and clearly. ,45 - 54,US,Man
Yes,Employed part-time,No,Occasionally,4,6,3,6,2,5,3,4,2,4,7,6,7,3,2,7,7,6,1,"I have a strategic way of thinking problems through. If AI provides the answer sometimes I don't understand how the answer was reached and it can make me question the answer, so my mind won't rest. I cannot just accept an answer, I need to understand how the answer is reached.",35 - 44,UK,Woman
Yes,Employed full time,Yes,Sometimes,6,5,1,1,2,2,2,1,4,2,2,2,2,1,1,1,1,1,2,"If I do it too much, I start to worry about cognitive decline, especially since dementia runs in the family lol. I suppose if I used it for creative answers, it might start to blur and I'd question if I'd come up with it or AI.",35 - 44,US,Woman
Yes,Employed part-time,Yes,Often,5,5,5,5,4,4,1,1,2,3,3,5,5,2,2,2,3,1,1,The amount of information presented is sometimes overwhelming so it's hard to reach a decision as to the way forward. Often there are no sources mentioned to support the ideas presented which gives a level of uncertainty as to the reliability of the tool.,55 - 65,UK,Man
Yes,Employed full time,Yes,Everyday,6,7,7,7,4,5,4,3,2,5,7,7,6,3,3,6,6,7,5,I find myself second guessing my decisions as I've become somewhat reliant on AI to assist my decision making. The longer I spend away from AI the better my decision making becomes.,55 - 65,Australia,Man
Yes,Employed full time,Yes,Occasionally,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,it does not affect me like this,35 - 44,UK,Woman
Yes,Employed part-time,No,Rarely,2,5,4,2,1,2,1,3,1,4,5,6,5,1,1,5,5,6,1,"I think it makes me question my own judgements and thought processes, and I doubt my own abilities",35 - 44,UK,Woman
Yes,Employed full time,Yes,Everyday,5,2,1,3,1,1,7,5,7,1,1,3,2,1,1,1,2,5,3,it makes me feel stimulated because it is so quick and easy to use but it does not interfere with my ability to work or think on my own. I use AI as an assistant and partner so it helps me more than hurts me.,35 - 44,US,Woman
Yes,Employed full time,Yes,Often,3,5,3,4,1,2,5,2,1,5,5,3,2,1,1,2,2,2,3,I often feels as if it clouds my judgement and coming back to what's real takes me some time.,25 - 34,Ireland,Woman
Yes,Retired,No,Often,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,it is something i use to give me a insight which i may not have thought of but in the end i make my own mind up,Over 65,UK,Man
Yes,Unemployed and not currently looking for work,Yes,Occasionally,3,6,4,5,2,4,1,2,1,1,1,2,3,2,2,1,2,4,1,"i only use ai infrequently, and mainly to generate images such as birthday cards for friends.  In this context, I find it helpful as it quickly gets the task done for me, so it actually is more restful for me than having to create the cards manually.  In terms of other interactions with ai, I mostly come across these when doing surveys for Prolific.  Here, I do find the conversations mentally taxing, and it can be quite difficult steering the AI in the direction you want, as well as mentally demanding trying to assess its accuracy",35 - 44,UK,Man
Yes,Retired,No,Never,6,4,3,4,1,4,1,1,1,4,2,2,5,1,1,4,4,6,1,It is just frustrating,55 - 65,UK,Woman
Yes,Employed full time,Yes,Sometimes,2,2,2,1,2,1,2,1,1,4,2,2,2,5,5,2,2,2,2,It helps me say what I want to say in a more coherent way,35 - 44,US,Woman
Yes,Self-employed / freelance but also looking for work,Yes,Often,5,4,6,4,4,5,2,4,4,5,6,5,6,2,2,2,5,4,2,Excessive use of digital or AI tools can lead to it becoming a habit where you simply use the digital or AI tools to make decisions for you and you end up not thinking at all.,25 - 34,New Zealand,Man
