consent,prolific_id,work_status,ai_tools_use,ai_tools_frequency,mentally_taxed_ai_prompts,ai_info_trust_drains_focus,switching_ideas_ai_flow_harder,meta_thinking_when_using_ai,lose_track_own_vs_ai_thoughts,brief_ai_sessions_mind_cluttered,rely_ai_suggestions_decisions,follow_ai_over_instinct,less_confident_without_ai_input,ai_decides_detached_from_outcome,question_if_decision_truly_mine_ai,ai_blurs_judgment_automation,worry_ai_weakens_independent_decisions,mind_replays_ai_interactions,hard_to_switch_off_after_ai,need_time_away_to_feel_myself,short_ai_breaks_clear_head,day_disconnected_ai_calm_grounded,uneasy_without_ai_long_periods,open_text_ai_effects_on_thinking,age_group,country,gender
Yes,5c48724351f1380001b49717,Unable to work due to illness or disability,Yes,Sometimes,5,6,6,4,6,5,5,3,2,6,6,7,7,6,5,4,5,4,2,It helps to reassure me that I am thinking along the right track. ,45 - 54,UK,Woman
Yes,5c4f5967aac8be0001716a65,Employed full time,Yes,Very often,6,6,5,5,3,5,5,4,4,5,4,4,5,5,5,5,6,5,4,It helps me break down complex topics and creates structure in order to better reinforce understanding,25 - 34,UK,Man
Yes,5c51d18698b0ff000110da96,Employed part-time,Yes,Often,7,2,1,2,1,4,1,1,1,7,4,1,4,1,1,7,5,7,1,"there's a feeling of always being connected, that you can never be alone with your thoughts unless you're silent",35 - 44,UK,Woman
Yes,5c5d306d935f3500016f64ac,Employed full time,Yes,Very often,2,3,3,5,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,I think that sometimes I can get a bit carried away by delving deeper than I need to when using AI such as ChatGPT to help with queries.,45 - 54,UK,Woman
Yes,5c5d36bc034e280001644c3b,Employed full time,Yes,Sometimes,4,3,5,3,5,4,2,4,4,4,3,5,4,3,3,2,5,4,1,i worry about AI and its effects on the human race in the future sp after using sometimes the worries come back,55 - 65,UK,Woman
Yes,5c617b872026f300018082d1,Unable to work due to illness or disability,Yes,Sometimes,3,1,6,1,1,3,1,1,2,3,1,1,5,2,3,1,5,3,1,"It becomes too easy to start using the digital or AI tools more and more to get more ideas, rather than stop and think for myself.",35 - 44,UK,Woman
Yes,5c72f069cf5c4b000197cc30,Employed full time,Yes,Occasionally,2,3,2,2,2,2,3,3,6,4,4,3,3,3,2,5,4,5,4,It doesn't affect it that much. But my eyes too get tired of screens. ,35 - 44,US,Woman
Yes,5c73d2817ed3a70001fc2929,Employed full time,Yes,Sometimes,5,5,6,6,2,5,2,1,1,1,2,2,4,1,1,2,4,2,1,"i dont think it affects my thinking at all, merely enables efficiency in the minutae of work",55 - 65,UK,Woman
Yes,5c794023c44ec600161822b0,Employed full time,No,Never,2,5,2,2,2,2,1,2,1,3,2,3,6,2,2,3,4,2,1,I don't like to use AI tools because I feel they diminish my ability to think and be creative on my own.,55 - 65,US,Woman
Yes,5c7b01b892edb30017dc1202,Employed full time,Yes,Sometimes,5,7,3,2,1,4,1,2,1,4,4,4,5,1,5,7,7,7,1,"I only use AI search tools to get a quick summary about a subject I know little about. For me, it's just a means of getting started on researching something. I purposely avoid getting sucked into the world of AI because it is draining and not very productive. Keeping it's use to a minimum helps me to get the best out of it without feeling cluttered",35 - 44,UK,Woman
Yes,5c7cf8b58ca9000001b52f6e,Employed full time,Yes,Everyday,2,2,1,1,1,1,7,6,6,5,3,4,3,2,2,2,2,2,2,"IT certainly simplifies my life since I can save time and get answers to questions that I did not know. Perhaps relying on it too much can reduce critical thinking skills, but AI has definitely helped me in my work life.",25 - 34,US,Man
Yes,5c8db07eb1f89a0016777fe0,Employed full time,Yes,Everyday,5,2,1,3,1,1,7,5,7,1,1,3,2,1,1,1,2,5,3,it makes me feel stimulated because it is so quick and easy to use but it does not interfere with my ability to work or think on my own. I use AI as an assistant and partner so it helps me more than hurts me.,35 - 44,US,Woman
Yes,5c9224087a7067000190b119,Employed full time,Yes,Occasionally,1,2,1,2,1,1,4,1,2,2,2,2,2,1,1,1,2,2,2,"I don't really use AI in that way. I get it to make up poems, or suggest songs to go with my instagram posts. It's not making decisions for me",45 - 54,UK,Woman
Yes,5c9527e29e4f7400011e1571,Employed part-time,No,Rarely,4,6,5,2,1,1,1,1,1,6,6,7,6,1,1,7,6,4,1,I Honestly really don't think it does affect me at all,45 - 54,US,Woman
Yes,5c973d2811345e00171bafc0,Employed full time,No,Rarely,3,6,5,3,1,2,1,1,1,6,1,1,1,1,1,6,7,7,1,I only use them minimally and I don't find they impact my ability to make decisions,18 - 24,UK,Woman
Yes,5ca5189dce3f920016239854,Employed full time,Yes,Often,3,5,3,4,1,2,5,2,1,5,5,3,2,1,1,2,2,2,3,I often feels as if it clouds my judgement and coming back to what's real takes me some time.,25 - 34,Ireland,Woman
Yes,5ca51f05a15cb1001609491f,Self-employed / freelance,Yes,Occasionally,5,5,2,3,1,2,3,3,1,2,2,2,2,4,2,5,5,5,1,Sometimes I’m just looking for objectivity and AI can provide that when I’m too caught up in my own head. ,35 - 44,US,Woman
Yes,5cab22cd68194f001511b2d6,Employed full time,Yes,Often,2,5,4,2,2,1,3,2,2,4,5,2,6,1,1,2,6,6,1,"I think I get used to AI answering all my questions and making the decisions that lose trust in myself to do these things, ",35 - 44,UK,Woman
Yes,5cae6a77b38ea60016e54889,Employed full time,Yes,Often,2,4,2,4,2,2,1,4,1,3,2,2,2,4,2,3,4,3,1,It makes it a bit easier se we don’t have ,25 - 34,UK,Woman
Yes,5cc8f511f24f6c001c1692a9,Employed full time,Yes,Very often,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,1,using AI helps me in making decisions as it is useful for many things but it does not clutter my mind or causes any negative effects ,25 - 34,US,Man
Yes,5cd062b7c24ebe0001f9fdb6,Self-employed / freelance,No,Rarely,4,4,6,3,1,4,2,3,1,4,5,5,6,1,1,5,7,6,4,It makes me feel a little less competent when I need to use AI.,35 - 44,US,Woman
Yes,5ce5a99c0af4f10015c5b6cf,Self-employed / freelance,Yes,Often,5,4,3,2,1,1,3,1,1,4,1,1,1,1,1,4,5,6,5,It doesn’t. I use AI to quickly do what my brain can do over a longer spell. ,45 - 54,UK,Woman
Yes,5ceecd8f12495000011572be,Employed part-time,Yes,Occasionally,1,1,2,3,6,5,1,5,1,1,1,4,5,1,1,2,4,4,1,"its a tool, an aid - its not a replacement for my human brain. its there to help (like any other tool) the tone of the question implies some kind of 'grip' or addiction which is hard to 'wean' yourself off of",55 - 65,UK,Man
Yes,5cf656e90acc8f000147f643,Employed full time,Yes,Everyday,1,1,1,1,1,1,1,4,5,2,1,1,1,1,1,1,1,1,1,AI improves all aspects and helps with decisions by finding helpful information. I can rest my mind while an AI it working on a solution giving me a break to think about other things,25 - 34,UK,Man
Yes,5cf8e0107d0e5c00166bc2db,Employed full time,No,Rarely,1,6,6,2,2,5,1,1,1,5,7,5,6,2,1,1,3,6,1,It just relies on something that isn't real to make the decision for us ,25 - 34,UK,Man
Yes,5cfc7489e289a80016b6e29f,Employed full time,Yes,Sometimes,2,2,1,2,1,2,3,3,2,2,4,5,6,2,2,2,2,4,3,"I think AI is just a tool that helps me get to solutions and answers faster. I will say that now that I have it in my pocket, I will often rely on it do to the thinking for me, instead of coming to conclusions myself. ",25 - 34,US,Man
Yes,5d029dce2e09e800191a12ec,Self-employed / freelance,No,Never,6,7,7,5,2,5,1,1,1,1,3,1,1,1,1,7,7,7,1,"It is mentally taxing to use something that is a simulacrum of the human mind, a little redundant and awkward.",35 - 44,US,Non-binary
Yes,5d0e3ed32d40560018fe1bde,Unable to work due to illness or disability,Yes,Often,5,7,7,7,7,7,5,3,3,5,7,7,7,7,7,7,7,7,4,I get lazy thinking and distracting or intrusive thoughts enter more in my head making me feel as though I need to rest to reset myself?,55 - 65,UK,Man
Yes,5d1686aadb7eb70001f1a65a,Employed full time,Yes,Occasionally,3,5,4,5,2,3,2,1,1,5,6,5,6,1,1,3,6,6,1,It feels like my mind is atrophied when I don’t use it often to make my own decisions.,35 - 44,US,Man
Yes,5d2f85f28e588a0019164d77,Homemaker / caring for family,Yes,Often,5,2,2,1,2,3,2,5,2,2,1,1,4,4,5,3,5,3,1,When using AI because of the amount of information I receive it sometimes makes me feel overwhelmed when all I wanted was a simple answer to my question,55 - 65,UK,Woman
Yes,5d37d2861566530016a061de,Employed full time,No,Sometimes,1,1,1,1,1,5,5,6,5,6,6,2,2,1,1,1,6,5,1,Sometimes it is so much information that I feel mentally drained ,45 - 54,US,Man
Yes,5d49bdf4723ba900180b7de8,Employed full time,Yes,Often,5,3,5,7,7,7,3,7,1,4,7,7,7,3,4,5,7,7,1,"I find it draining and unpersonal as well as making me feel lazy since in the past I always preferred to use my own brain when working on a task, whereas now my job requires me to use it on a regular basis which clashes with what I think of AI in general (not very positively) ",25 - 34,UK,Woman
Yes,5d4b085ef76ba3001c7510de,Unemployed and looking for work,Yes,Everyday,2,4,3,6,3,2,3,1,2,6,5,5,6,1,1,5,6,7,1,The majority of decisions I make are made after some form of research using digital or AI tools. I don't feel self confident enough to make important decisions without using the internet now.,35 - 44,UK,Man
Yes,5d4e0c0546fc3900194b7a08,Employed full time,Yes,Often,3,5,5,5,5,5,3,3,3,4,2,5,6,1,1,6,6,6,3,"Well you feel as if your decisions aren’t yours, they are not unique to you, you know yourself better than anyone does and this can make you question your ability to think freely ",25 - 34,UK,Woman
Yes,5d532f8c8d4ab1001d1befe0,Employed part-time,Yes,Occasionally,3,5,5,2,2,1,5,2,1,2,5,5,5,1,1,1,1,1,1,I use it more of an aide then trusting on it solely. It doesnt effect my feelings but helps back up maybe what im feeling,35 - 44,UK,Woman
Yes,5d747c71641e7d0019a27ad4,Employed full time,Yes,Occasionally,3,4,5,3,2,3,2,2,2,5,6,5,6,2,2,5,6,6,2,"I feel like i always need to be switched on when using AI, I also feel like I need to proof read answers and even fact check ",35 - 44,UK,Woman
Yes,5d8a1d20d1afcb0019d7390b,Retired,Yes,Often,2,2,3,1,1,1,3,4,2,2,2,3,2,1,1,2,3,3,2,They really don't. I use AI tools to get information and sometimes it gets things wrong.  So my mind is clear and correct even though the AI isn't.  I use it to get the information that I want and correct it when it is wrong.  ,Over 65,US,Man
Yes,5d921a2e34fc500016df8e5f,Employed part-time,Yes,Rarely,4,5,3,3,4,3,1,2,6,5,4,4,7,3,3,4,5,5,1,I focus too much on phrasing things correctly for AI rather than thinking however i want,35 - 44,UK,Woman
Yes,5da640b9640c5d00133f384b,Self-employed / freelance,Yes,Everyday,2,6,4,3,2,2,2,2,1,3,3,4,3,2,1,3,3,4,3,It makes me wonder how I can go about confirming the AI results. Sometimes there is no immediate way to do so and I'm left with doubt about the usability of the results.,35 - 44,US,Man
Yes,5dab79a5525a7600139cd31e,Unemployed and looking for work,Yes,Sometimes,5,6,5,5,2,5,2,1,1,5,5,5,5,4,3,5,5,6,1,"It sometimes makes me doubt myself, although it can definitely help make interesting and useful suggestions.",25 - 34,UK,Man
Yes,5dac7eaa59f37100128372d5,Retired,No,Never,6,4,3,4,1,4,1,1,1,4,2,2,5,1,1,4,4,6,1,It is just frustrating,55 - 65,UK,Woman
Yes,5db48b4d14dab8000de45fdf,Employed full time,Yes,Sometimes,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,It helps me to think more clearly by helping when my mind is blocked. It gets my creative side going again.,45 - 54,US,Woman
Yes,5dd2f94a238a913096c52317,Employed full time,Yes,Sometimes,2,1,2,2,1,1,3,2,2,4,4,5,4,2,2,3,4,5,1,Makes things easier but sometimes I need a break,35 - 44,US,Woman
Yes,5dd32014b51b3e33ec0d07cc,Employed full time,No,Never,2,2,2,2,2,2,1,2,1,2,1,1,2,4,4,4,4,4,4,I don’t use AI tools at all,45 - 54,US,Man
Yes,5dd61f689740545c506ee244,Employed full time,Yes,Sometimes,6,5,1,1,2,2,2,1,4,2,2,2,2,1,1,1,1,1,2,"If I do it too much, I start to worry about cognitive decline, especially since dementia runs in the family lol. I suppose if I used it for creative answers, it might start to blur and I'd question if I'd come up with it or AI.",35 - 44,US,Woman
Yes,5dded98ea4aa26f899702668,Employed full time,Yes,Occasionally,3,3,3,2,2,1,3,2,1,5,3,5,6,1,1,2,4,5,5,"I try not to use AI tools too often, because I feel like it cripples my ability to be creative and too much use can feel like a crutch.",35 - 44,UK,Man
Yes,5de3c83c2033793be6591e53,Employed full time,Yes,Very often,4,5,4,3,2,2,4,3,2,3,2,3,4,3,4,5,6,5,2,"Using digital or AI tools can sometimes make it harder to think clearly and relax, as they often leave my mind busy and overactive.",35 - 44,UK,Man
Yes,5de3dfebc0049d3e5c7cc17c,Homemaker / caring for family,Yes,Sometimes,6,5,3,5,1,2,1,1,1,2,1,1,1,1,2,2,4,3,1,I have yet to have any issues with them except for learning prompts and making it do as closely to as I like can be a bit of a hassle.,35 - 44,US,Man
Yes,5ded58a8217786000b2b2511,Retired,Yes,Sometimes,5,6,4,5,6,5,3,4,3,5,6,5,6,5,3,3,5,4,3,It does depend on what purpose you're using AI for in my view and therefore the trustworthiness of the results obtained. I would always take each case individually to assess how to use the results and whether or not to accept them on face value or the need for further research. ,Over 65,UK,Man
Yes,5dfeb647c0b81fb457299d05,Employed full time,Yes,Often,2,4,2,1,1,3,1,3,3,4,2,5,4,3,3,1,3,4,1,"Often use AI to check my understanding of topics by including phrases like ""UK law"". Whether agrees or disagrees with me, helps me make decisions or decide to research further.",25 - 34,UK,Woman
Yes,5e18a90788bbb5000b1fa144,Employed part-time,Yes,Everyday,3,3,3,4,2,3,5,2,3,5,5,5,6,3,2,6,6,4,2,"I find it very useful as a sounding board and information source, for example recently I asked chatgpt to help with diet and supplement plans. The knowledge it can provide saves me time and mental energy in working out what supplements interact with others, or with types of food, and the best plan overall for my health. This information helped me to think clearly and make decisions. It is not something that warranted a doctor's appointment but it made it much easier than timing supplements and counting calories by myself.",35 - 44,UK,Woman
Yes,5e1b10cc8e55e133d9c51dcd,Homemaker / caring for family,Yes,Sometimes,4,5,4,3,3,4,3,3,5,4,3,4,4,2,3,4,4,5,2,It can be difficult to feel like the decision is my own. ,35 - 44,US,Woman
Yes,5e1da370b734b411521e22ed,Employed full time,Yes,Very often,3,3,4,5,3,3,5,2,2,5,5,4,4,1,1,1,7,7,7,"It can at times be overwhelming as I'm presented with such a large volume of information when the intention was seeking support in decision making. But on the flip side, it can really help me in prioritising some things, especially in terms of asking it to review large documents or series of documents to identify the most relevant sections. I have found that mastering prompt engineering has really helped avoid the more negative side of it and have much more positive interactions",25 - 34,UK,Woman
Yes,5e1e26bc677d6f1913ec0111,Unable to work due to illness or disability,No,Never,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,It doesn't affect me due to my not using it.,55 - 65,UK,Man
Yes,5e34325430e5263f0bebb32d,Retired,Yes,Everyday,3,2,1,5,1,1,2,1,1,1,1,2,1,1,1,5,5,5,2,I actually feel it increases my ability to make decisions and rest my mind because I don't  have to think as hard.  For instance I don't have to think of the details as much but can concentrate on the overall big picture.,Over 65,US,Man
Yes,5e36965ded5a2b62bf438768,Employed full time,Yes,Everyday,3,3,3,2,2,1,5,5,3,6,5,6,7,6,5,7,7,5,2,I think using AI tools can affect my ability to think critically and be quite lazy. ,35 - 44,UK,Woman
Yes,5e4feb8037713502e9ed364b,Employed full time,No,Rarely,2,3,3,1,1,1,1,2,1,5,4,2,5,1,1,2,3,4,1,It makes me think of decisions quicker but it doesn't feel as authentic,18 - 24,UK,Woman
Yes,5e5ca080bb37ff47b09dd4cc,Employed full time,Yes,Everyday,5,6,1,1,1,1,7,3,5,2,1,2,7,1,2,1,4,4,5,I feel like AI has been mostly positive when it comes to helping me think and make decisions. I haven't noticed any negative impact. I am a little concerned with long term decision making though - I'm afraid that relying on AI will make me feel like I can't trust my own judgments.,25 - 34,US,Woman
Yes,5e5e7af6b546a8000bee3f29,Employed full time,Yes,Often,3,3,5,3,2,2,2,2,2,4,5,5,6,2,2,5,5,4,1,The tools take my mind off in a different direction and make me think of questions I didn’t necessarily intend to ask ,45 - 54,UK,Woman
Yes,5e63f5da8a25da181c011cad,Employed full time,Yes,Occasionally,5,6,5,4,5,6,3,2,2,5,5,6,6,5,5,6,5,6,2,It makes me question my own judgement and my own ability to collate information effectively. I often end up worrying about whether the ai information is correct and if I should check it all myself rather than take it all as gospel,45 - 54,UK,Woman
Yes,5e64b95d672c3722e811db88,Self-employed / freelance,Yes,Occasionally,2,7,2,1,1,2,1,1,1,1,1,1,4,1,1,1,6,2,1,"I have to use AI tools for work occasionally (several times a week as a freelancer), and I find having to interface with them to be frustrating and redundant most of the time. I wouldn't interact with them if I could avoid doing so, as I'm highly computer-literate and prefer normal digital tools and software that I am in full control of (like running batch scripts).",25 - 34,Australia,Woman
Yes,5e662e0f4184583a3d87eb31,Employed full time,Yes,Rarely,1,7,4,4,1,1,1,1,1,1,1,1,7,1,1,4,7,7,1,I don't use AI tools enough for that to be a problem. I used more AI tools like generative fill in Photoshop instead of chat bots ,25 - 34,UK,Woman
Yes,5e682759984ee80128a78dca,Employed full time,Yes,Everyday,7,7,7,7,5,6,7,7,7,7,5,6,7,5,5,6,6,6,3,"It helps me think more clearly and make decisions more easily by rationalizing my thoughts and providing me with other perspectives or inspiration, that I may have not previously considered.",18 - 24,UK,Man
Yes,5e6faa06b59a32573bcde7f1,Employed full time,Yes,Everyday,2,3,1,7,1,6,2,6,1,1,1,1,1,1,1,4,5,3,3,Depending on what I am doing AI can boost my creativity and give me new ideas for me to explore,55 - 65,UK,Man
Yes,5e6fc1d5d6d43357de8e6edc,Employed full time,Yes,Everyday,5,3,3,3,6,5,6,6,3,5,7,5,4,5,3,5,5,3,6,"we rely Alon AI to find info quicker, we rely more and more on AI and we become more and more lazy",35 - 44,UK,Man
Yes,5e89ec793c01b3685a00bb12,Employed full time,Yes,Occasionally,4,2,3,1,1,1,1,2,1,4,1,3,7,1,1,4,6,4,1,"It doesn’t. I use it as a tool to help me, i do no rely on it, i can live without it and function perfectly efficiently and competently. AI has no negative impact on my life and does not stop me from being able to make decisions, think clearly or rest.",45 - 54,UK,Man
Yes,5e9ffa9ee172201b04f1a4c6,Employed full time,Yes,Everyday,3,2,2,3,2,2,3,2,2,5,4,5,5,2,2,3,5,3,2,"I find using Ai really saves me a lot of time. However, sometimes I think I am becoming more stupid because I am relying on it too much and I worry I will not be able to think for myself.",35 - 44,UK,Woman
Yes,5ea08689069d5305f6380c77,Retired,No,Often,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,it is something i use to give me a insight which i may not have thought of but in the end i make my own mind up,Over 65,UK,Man
Yes,5eaae0b28ba2df0570296c3a,Employed full time,Yes,Sometimes,1,2,3,2,1,1,2,3,3,2,3,4,5,1,1,1,4,4,4,I can become too focussed on the interaction and less on my immediate surroundings,45 - 54,UK,Man
Yes,5eac39578621a7067ae955eb,Employed full time,Yes,Sometimes,5,4,4,5,2,3,3,2,4,6,6,7,6,2,2,4,6,5,3,"I think any screen time (AI included) keeps your brain active and ""buzzing"" so harder to powder down/switch off. In terms of decision making, I find myself worrying that I begin to rely more and more on AI so it erodes my ability to make any decision myself without AI back up",35 - 44,UK,Man
Yes,5eb29fdddac67500082c1089,Homemaker / caring for family,Yes,Sometimes,2,3,2,4,1,2,2,4,2,5,5,5,6,1,1,2,4,3,1,I don't use AI often enough to be overly affected by it mentally or for it to affect my decision making in my opinion.,45 - 54,UK,Man
Yes,5eb4909c2f46f82f9280a49b,Employed full time,Yes,Everyday,5,3,5,6,3,2,6,7,5,4,3,6,3,3,2,5,6,5,6,"Sometimes I feel like when AI generates output there is so much detail that it becomes very overwhelming which affects my ability to think clearly, make decisions and rest my mind.",25 - 34,UK,Man
Yes,5ebb96b6cd673a0008ace9ce,Student,Yes,Very often,3,3,2,5,4,2,2,5,3,5,4,5,4,5,3,3,4,3,5,"Sometimes it makes me lazy and take shortcuts when I know it shouldn't, but it does make things easier and more efficient in my mind.",25 - 34,US,Man
Yes,5ebc0abd2cc5f1054c82a0d7,Employed full time,Yes,Everyday,2,2,1,3,1,1,6,4,3,2,1,1,2,1,1,1,2,1,1,I have a very good relationship with AI in my work ive had no issues and our company provides training for all staff,35 - 44,UK,Man
Yes,5ebebcf619a604258a233c4f,Employed full time,Yes,Often,2,2,3,4,2,1,1,3,2,4,3,2,2,1,1,2,3,2,1,It does not affect my cognative abilities,55 - 65,UK,Man
Yes,5ec00f62cf12be40ea6fe344,Employed full time,Yes,Everyday,2,5,1,4,1,1,4,2,1,2,1,1,1,1,1,1,1,1,1,It doesn't affect me because I'm not dependent on AI or any digital tools.,45 - 54,US,Woman
Yes,5ed4ea970d0ef4024872263e,Employed full time,No,Occasionally,3,3,3,4,2,3,1,4,2,4,4,2,4,2,2,4,3,2,1,It does not ,25 - 34,UK,Woman
Yes,5ed9c3054268815691ed0e2c,Self-employed / freelance,Yes,Sometimes,3,2,3,5,3,2,5,6,5,3,2,4,3,2,3,3,4,3,5,"i think ai tools has helped me as i tend to use it as a second opinion and whether to see what it thinks of my own decision, i don't think it has hindered my own ability to think clearly or make decisions.",35 - 44,US,Man
Yes,5edd36ee4aaed5a3a0d9b6d1,Self-employed / freelance,Yes,Occasionally,6,7,7,6,5,6,2,1,1,6,7,6,5,4,6,7,7,7,1,Using AI tools although it saves time is very mentally overloading ,55 - 65,UK,Woman
Yes,5ede66237578b70c1548f73e,Employed full time,Yes,Everyday,2,3,4,1,1,5,3,4,3,4,3,4,2,1,1,3,3,3,1,"It definitely rests my mind, we're at the point where we are working side-by-side with AI models to help us manage our daily workload, for me atleast. It helps alot to make decisions and gain a much clearer thought. ",25 - 34,UK,Man
Yes,5edfd24f21501a2e9bfcbc3b,Retired,No,Never,2,2,5,1,3,3,1,2,1,5,5,5,6,2,2,4,5,6,2,I dont use AI tools so hopefully I think clearly most of the time,Over 65,UK,Man
Yes,5ee00b8630f30b34f2a5dc1c,Unemployed and looking for work,Yes,Sometimes,5,6,5,6,2,6,2,2,3,7,7,7,7,5,5,3,4,5,1,It affects my ability to think rationally. It undermines my confidence in my own thought processes at times. The process from question to answer can feel somewhat saltatory at times.,35 - 44,US,Man
Yes,5ef0fcea28006f6b24913b02,Employed full time,No,Rarely,4,5,5,2,1,5,1,2,1,4,2,6,7,2,2,7,6,7,1,"I am worried about ai, and I don’t trust it",35 - 44,UK,Man
Yes,5eff628ae58b0e018913f939,Employed full time,Yes,Everyday,2,4,4,6,2,1,6,7,3,2,1,1,2,1,1,1,2,2,1,"AI tools help me figure out a potential root cause for something a lot better than my mind and or Google would ,and therefore it helps me make better decisions and rest my mind, as something that would take 45 min to identify the root cause via Google would take 2 min with AI",35 - 44,Ireland,Man
Yes,5f072bda6cd79c09f05284cb,Employed full time,Yes,Sometimes,4,4,5,4,4,3,4,4,4,5,5,5,5,3,3,4,4,3,3,"I think using AI affects my ability to make my own personal decisions as it does become easier to rely on AI to make decisions for me, leading to potential mistrust of myself, and lack of clear thinking. However, using AI does make it easier to rest my mind as the software does the bulk of the thinking for me. ",25 - 34,UK,Woman
Yes,5f1088e27a43fe0c64ca5814,Employed full time,Yes,Sometimes,4,6,7,2,3,5,1,2,1,2,4,3,4,1,2,3,6,6,1,"It does sometimes feel that trying to distinguish from my original thought to the one presented by AI can be blurred. Sometimes the way things are reworded by AI makes me think, didn't I just say that, so makes me question my judgement or knowledge and then leads me down another rabbit hole of finding that out. ",55 - 65,UK,Woman
Yes,5f29eff59714081a3594a331,Employed full time,Yes,Everyday,2,2,2,2,1,1,1,1,1,2,1,1,5,1,1,1,4,1,1,I use AI every day only to confirm that the work I do is accurate.,35 - 44,New Zealand,Man
Yes,5f2aeacd1064b9427cae308e,Employed full time,Yes,Occasionally,4,5,3,2,1,4,1,3,2,5,5,6,6,1,1,1,4,5,1,"I don't tend to have any issue with thinking clearly, making decisions or having a restful mind with AI use but I tend to prefer to not be over reliant on AI as I don't trust it 100% & think it is better to have human input without too much AI.",35 - 44,UK,Woman
Yes,5f30a3aafe3e9550d0b8333d,Employed part-time,No,Occasionally,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,"It has no current effect on me as my use is limited, when I do use it it has little effect on me.",45 - 54,New Zealand,Man
Yes,5f4102e52cd459256b5014a9,Employed part-time,Yes,Rarely,3,4,3,2,3,3,2,3,4,6,4,3,7,2,3,7,7,6,1,Using AI helps me make plans for holidays or work out medical ailments much quicker than googling for research. So it really helps me make decisions quickly and often helps me be more logical in my thinking too.,Over 65,UK,Woman
Yes,5f4412624052727181839e3a,Employed full time,Yes,Occasionally,4,6,2,5,6,6,5,3,5,7,7,7,7,5,5,5,6,6,6,It can just make me second guess myself sometimes when I have to make a decision on my own. I find myself wondering what AI would say,25 - 34,UK,Man
Yes,5f57be602095072bb238a7ab,Employed part-time,Yes,Sometimes,1,1,1,1,1,3,1,3,1,1,1,1,3,1,1,1,4,5,1,"i make a point if not being reliant on AI and i wont be using it for advice, i use it for information only, i find it interesting that i now see ads for chatgbt on regular tv making it seem like we need it to make what seems like logical action that can be decided ourselves, i appreciate how  good it is for knowledge like planning a trip but not for asking how i should feel or act in situations, its a fine line between Ai being helpful and making life easier and overly ridiculously and scarily intrusive  ",45 - 54,UK,Woman
Yes,5f6091647826e603c6451677,Employed part-time,Yes,Often,3,3,4,3,4,3,3,4,4,3,4,4,5,4,4,3,3,3,2,It can sometimes blur your way of thinking and you can get persuaded when maybe your gut is telling you other things. But you can come to rely on it and think it is making better choices than you are.,25 - 34,UK,Woman
Yes,5f6388bf9ae5ad07ba1a0173,Employed full time,Yes,Occasionally,1,2,4,4,1,3,2,1,1,4,3,4,4,2,1,2,4,4,4,It has no effect because I do not rely on AI in my business or personal life,45 - 54,US,Woman
Yes,5f6e76757befe43b22307387,Employed full time,Yes,Often,5,7,4,3,3,4,3,4,2,6,6,6,7,2,2,1,3,4,4,Sometime I become less confident in my own decision making abilities.,45 - 54,UK,Man
Yes,5f7750471fcf840f542f6081,Employed full time,No,Occasionally,4,5,1,5,1,2,1,1,1,1,2,3,2,2,1,1,4,4,1,I sometimes question whether the information that AI provides is up to date and correct. That’s why I like to save posts about certain things and add to them when I know more. ,35 - 44,UK,Man
Yes,5f84e472052cf81ae5752252,Employed full time,Yes,Occasionally,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,it does not affect me like this,35 - 44,UK,Woman
Yes,5f871995a3c40d0cbee04d20,Employed full time,Yes,Often,5,6,6,2,4,3,4,5,4,5,6,4,4,4,5,5,4,5,5,"When tools handle tasks like summarizing, calculating, or organizing, your mind has more space for deeper reasoning, creativity, or reflection. It’s like clearing mental clutter so you can focus on the parts that matter.",25 - 34,US,Woman
Yes,5fa2e56fe794555527f2c8ef,Self-employed / freelance,No,Never,1,5,6,1,4,4,1,1,1,1,1,1,7,1,1,1,1,6,1,I don't use AI tools as I'm worried they will affect my ability to think clearly and make balanced decisions.,25 - 34,UK,Woman
Yes,5fb4f7b816ba5b1868ac6bd2,Employed part-time,Yes,Often,5,5,5,5,4,4,1,1,2,3,3,5,5,2,2,2,3,1,1,The amount of information presented is sometimes overwhelming so it's hard to reach a decision as to the way forward. Often there are no sources mentioned to support the ideas presented which gives a level of uncertainty as to the reliability of the tool.,55 - 65,UK,Man
Yes,5fb551ccab996500099ab1aa,Employed full time,Yes,Everyday,5,4,2,2,2,2,5,5,2,2,2,2,2,1,1,1,4,1,1,"It doesn't, I think it makes it easy and provides better insight to help make a more better informed decision. ",35 - 44,UK,Man
Yes,5fb809a247aaee22c2a204fc,Employed full time,No,Sometimes,3,4,3,2,1,4,1,2,1,4,4,4,7,1,2,1,3,4,1,"It's a lot of information to process at once. Usually you have to look up the different topics, but with AI it will just spit everything out all at one time",25 - 34,US,Woman
